search successful.
 Iter           x_1           x_2               f      gradient_1      gradient_2 
   00    10.0000000    12.0000000    774481.00000    352018.00000    -17600.00000 
   01    -0.7427368    12.5371094     14368.14165      3557.32893      2397.09028 
   02    -1.3243799     2.4088612        48.28939       342.27468       130.97580 
   03    -1.3592801     1.8692915         5.61307         7.05237         4.32984 
   04    -1.3603042     1.8516118         5.57118        -4.07623         0.23685 
   05    -1.1513687     1.2774932         4.86029       -26.48116        -9.63133 
   06    -0.9980416     0.9288701         4.44398       -30.83025       -13.44341 
   07    -0.7386240     0.6116981         3.46017        16.06163        13.22654 
   08    -0.5535744     0.2865384         2.45322        -7.51499        -3.98125 
   09    -0.5106769     0.2249715         2.41045       -10.33820        -7.16387 
   10    -0.3238515     0.0558135         1.99333        -9.00379        -9.81327 
   11    -0.2558141     0.0796349         1.59722        -1.05922         2.83880 
   12    -0.1089611    -0.0123586         1.28851        -3.27402        -4.84622 
   13    -0.0343320    -0.0372802         1.21775        -2.59681        -7.69178 
   14     0.2377167     0.0245037         0.68351         1.51873        -6.40111 
   15     0.2279841     0.0512564         0.59606        -1.47834        -0.14406 
   16     0.3709929     0.1168103         0.43902         1.83241        -4.16508 
   17     0.4885548     0.2088254         0.35074         4.81248        -5.97208 
   18     0.5326485     0.2882858         0.22051        -1.90869         0.91428 
   19     0.6365177     0.3911262         0.15180         2.84484        -2.80573 
   20     0.7350614     0.5217170         0.10478         4.93849        -3.71967 
   21     0.7609271     0.5815879         0.05782        -1.26277         0.51557 
   22     0.8381920     0.6951434         0.03169         2.16497        -1.48449 
   23     0.8999793     0.7999008         0.02013         3.42218        -2.01239 
   24     0.9190669     0.8464102         0.00685        -0.79648         0.34525 
   25     0.9634323     0.9253881         0.00213         1.01122        -0.56276 
   26     0.9967803     0.9931595         0.00003         0.15760        -0.08228 
   27     0.9967820     0.9935801         0.00001        -0.00868         0.00113 
   28     1.0000038     0.9999972         0.00000         0.00416        -0.00208 
   29     0.9999966     0.9999933         0.00000        -0.00001         0.00000 
Number of f calculations:           245 
Number of gradient calculations:    222 
