 Iter                    a                  x_1                  x_2                    b 
   00         0.0000000000         0.3628677107         0.5871322893         0.9500000000 
   01         0.3628677107         0.5871322893         0.7257354214         0.9500000000 
   02         0.3628677107         0.5014708428         0.5871322893         0.7257354214 
   03         0.5014708428         0.5871322893         0.6400739748         0.7257354214 
   04         0.5014708428         0.5544125283         0.5871322893         0.6400739748 
   05         0.5544125283         0.5871322893         0.6073542138         0.6400739748 
   06         0.5544125283         0.5746344527         0.5871322893         0.6073542138 
   07         0.5746344527         0.5871322893         0.5948563771         0.6073542138 
   08         0.5871322893         0.5948563771         0.5996301259         0.6073542138 
   09         0.5871322893         0.5919060381         0.5948563771         0.5996301259 
   10         0.5919060381         0.5948563771         0.5966797869         0.5996301259 
   11         0.5948563771         0.5966797869         0.5978067161         0.5996301259 
   12         0.5948563771         0.5959833064         0.5966797869         0.5978067161 
   13         0.5959833064         0.5966797869         0.5971102356         0.5978067161 
   14         0.5966797869         0.5971102356         0.5973762675         0.5978067161 
   15         0.5966797869         0.5969458188         0.5971102356         0.5973762675 
   16         0.5966797869         0.5968442037         0.5969458188         0.5971102356 
   17         0.5968442037         0.5969458188         0.5970086204         0.5971102356 
   18         0.5968442037         0.5969070053         0.5969458188         0.5970086204 
   19         0.5969070053         0.5969458188         0.5969698069         0.5970086204 
   20         0.5969070053         0.5969309934         0.5969458188         0.5969698069 
   21         0.5969309934         0.5969458188         0.5969549815         0.5969698069 
   22         0.5969309934         0.5969401560         0.5969458188         0.5969549815 
   23         0.5969401560         0.5969458188         0.5969493186         0.5969549815 
   24         0.5969401560         0.5969436558         0.5969458188         0.5969493186 
   25         0.5969401560         0.5969423190         0.5969436558         0.5969458188 
   26         0.5969423190         0.5969436558         0.5969444820         0.5969458188 
   27         0.5969423190         0.5969431452         0.5969436558         0.5969444820 
   28         0.5969423190         0.5969428296         0.5969431452         0.5969436558 
   29         0.5969428296         0.5969431452         0.5969433402         0.5969436558 
   30         0.5969428296         0.5969430247         0.5969431452         0.5969433402 
   31         0.5969430247         0.5969431452         0.5969432197         0.5969433402 
   32         0.5969430247         0.5969430992         0.5969431452         0.5969432197 
   33         0.5969430247         0.5969430707         0.5969430992         0.5969431452 
   34         0.5969430707         0.5969430992         0.5969431167         0.5969431452 
   35         0.5969430992         0.5969431167         0.5969431276         0.5969431452 
   36         0.5969430992         0.5969431100         0.5969431167         0.5969431276 
   37         0.5969430992         0.5969431059         0.5969431100         0.5969431167 
   38         0.5969431059         0.5969431100         0.5969431126         0.5969431167 
   39         0.5969431100         0.5969431126         0.5969431142         0.5969431167 
   40         0.5969431100         0.5969431116         0.5969431126         0.5969431142 
   41         0.5969431116         0.5969431126         0.5969431132         0.5969431142 
   42         0.5969431126         0.5969431132         0.5969431136         0.5969431142 
   43         0.5969431132         0.5969431136         0.5969431138         0.5969431142 
   44         0.5969431132         0.5969431134         0.5969431136         0.5969431138 
   45         0.5969431134         0.5969431136         0.5969431137         0.5969431138 
   46         0.5969431134         0.5969431135         0.5969431136         0.5969431137 
   47         0.5969431135         0.5969431136         0.5969431136         0.5969431137 
   48         0.5969431136         0.5969431136         0.5969431136         0.5969431137
