 Iter           x_1           x_2               f      gradient_1      gradient_2 
   00    15.0000000    32.0000000   3725096.00000   1158028.00000    -38600.00000 
   01    14.9996373   224.9891182       195.98984        28.00747        -0.00027 
   02    14.5915574   212.7470163       187.50367       999.15919       -33.30611 
   03    14.0771599   197.9515162       175.63099      1236.31548       -42.98314 
   04    13.3901755   179.1065142       157.13728      1043.95947       -38.05697 
   05    12.7853956   163.2730586       142.63130      1012.03943       -38.65616 
   06    12.1533310   147.5217398       127.69885       905.68626       -36.34311 
   07    11.5519101   133.2691166       114.49382       841.33955       -35.50217 
   08    10.9512723   119.7609184       101.89907       762.16897       -33.88951 
   09    10.3852701   107.7002846        90.44107       656.63552       -30.71008 
   10     9.8517044    96.8946520        80.95857       653.83924       -32.28557 
   11     9.2682549    85.7528779        70.54474       564.00076       -29.53438 
   12     8.7284784    76.0416706        61.82218       520.53919       -28.93301 
   13     8.1841520    66.8443738        53.46084       459.49023       -27.19414 
   14     7.6615552    58.5692158        46.07184       412.37445       -26.04245 
   15     7.1471794    50.9592742        39.29822       363.64613       -24.57975 
   16     6.6488205    44.0904187        33.26396       320.85445       -23.27908 
   17     6.1628526    37.8713104        27.85280       280.11525       -21.88837 
   18     5.6919143    32.2951562        23.06945       243.28048       -20.54640 
   19     5.2351686    27.3111200        18.85575       209.22806       -19.17395 
   20     4.7941707    22.8951138        15.18710       178.18156       -17.79173 
   21     4.3692155    19.0077307        12.02916       150.59576       -16.46260 
   22     3.9595527    15.6026944         9.32691       125.28097       -15.07264 
   23     3.5676475    12.6595549         7.06278       102.96570       -13.71077 
   24     3.1933536    10.1358666         5.19076        83.12268       -12.32810 
   25     2.8382165     8.0007318         3.67870        65.82354       -10.94827 
   26     2.5031112     6.2177641         2.48784        50.86730        -9.56032 
   27     2.1896002     4.7535466         1.58163        38.11544        -8.16045 
   28     1.8995044     3.5743061         0.92343        27.48871        -6.76221 
   29     1.6347244     2.6456592         0.47398        18.70517        -5.33293 
   30     1.3992906     1.9385563         0.19729        11.68942        -3.89156 
   31     1.1980543     1.4233490         0.05359         6.13965        -2.39703 
   32     1.0433581     1.0844810         0.00357         1.80419        -0.82305 
   33     1.0092916     1.0192884         0.00012        -0.23123         0.12376 
   34     1.0039896     1.0082765         0.00002        -0.10498         0.05626 
   35     1.0018759     1.0038915         0.00001        -0.05082         0.02724 
   36     1.0009117     1.0018914         0.00000        -0.02506         0.01343 
   37     1.0004496     1.0009328         0.00000        -0.01245         0.00667 
   38     1.0002233     1.0004633         0.00000        -0.00621         0.00333 
   39     1.0001113     1.0002309         0.00000        -0.00310         0.00166 
   40     1.0000555     1.0001152         0.00000        -0.00155         0.00083 
   41     1.0000278     1.0000576         0.00000        -0.00077         0.00041 
   42     1.0000139     1.0000288         0.00000        -0.00039         0.00021 
   43     1.0000069     1.0000144         0.00000        -0.00019         0.00010 
   44     1.0000035     1.0000072         0.00000        -0.00010         0.00005 
Number of f calculations:           5201 
Number of gradient calculations:    4175 
Number of Hessian calculations:     44
